unfreeze_from,dropout,best_val_acc_mean,best_val_acc_std,best_val_loss_mean,best_val_loss_std,test_acc_mean,test_acc_std,test_loss_mean,test_loss_std
layer6,0.2,0.6361,,1.6618,,0.6147,,1.7223,
layer9,0.2,0.6224,,1.6771,,0.6113,,1.7168,
